epoch,train_loss,val_loss,val_macro_f1,recall_nv,recall_mel,recall_bkl,recall_bcc,recall_akiec,recall_vasc,recall_df
1,1.5267,1.1035,0.4338,0.7147,0.3846,0.2994,0.5657,0.8772,0.8,0.3077
2,0.9327,0.839,0.5174,0.7167,0.6154,0.5414,0.5758,0.807,0.8,0.4615
3,0.746,0.9621,0.4914,0.6212,0.6667,0.5096,0.7778,0.614,0.85,0.3846
4,0.6312,0.8342,0.5449,0.7459,0.6154,0.5096,0.8182,0.8246,0.75,0.3846
5,0.581,0.7465,0.5862,0.7653,0.5577,0.6752,0.7778,0.6667,0.75,0.5385
6,0.4914,0.7305,0.5882,0.7692,0.5641,0.535,0.7576,0.807,0.8,0.7692
7,0.4575,0.6621,0.6263,0.8364,0.609,0.5924,0.798,0.7193,0.75,0.4615
8,0.4001,0.6754,0.6096,0.8228,0.6282,0.7006,0.7273,0.5614,0.7,0.4615
9,0.3628,0.719,0.5994,0.8267,0.609,0.5159,0.8283,0.6842,0.7,0.3846
10,0.3247,0.8075,0.5705,0.8004,0.5192,0.5414,0.7475,0.8421,0.6,0.5385
11,0.3222,0.6293,0.658,0.8403,0.6282,0.6306,0.6465,0.7719,0.7,0.5385
12,0.2852,0.7372,0.6293,0.7838,0.6538,0.6115,0.7677,0.7544,0.95,0.6923
13,0.2452,0.6314,0.6659,0.8763,0.5513,0.6879,0.7576,0.7544,0.6,0.4615
14,0.2542,0.6466,0.6696,0.8763,0.6282,0.6306,0.6869,0.6667,0.7,0.5385
15,0.2261,0.5782,0.6864,0.8958,0.6346,0.5924,0.7071,0.7368,0.7,0.4615
16,0.229,0.7159,0.6679,0.851,0.5641,0.6178,0.8687,0.614,0.65,0.5385
17,0.2025,0.7237,0.6608,0.8043,0.6154,0.6051,0.7475,0.7544,0.7,0.6154
18,0.1606,0.6496,0.6632,0.9143,0.3974,0.6242,0.7273,0.8421,0.8,0.5385
19,0.1452,0.6698,0.6823,0.8773,0.5256,0.6879,0.7273,0.8246,0.75,0.5385
20,0.1546,0.7005,0.6455,0.9026,0.5192,0.6306,0.697,0.7895,0.75,0.3077
